,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
count,41188.0,41188,41188,41188,41188,41188,41188,41188,41188,41188,41188.0,41188.0,41188.0,41188.0,41188,41188.0,41188.0,41188.0,41188.0,41188.0,41188
unique,,12,4,8,3,3,3,2,10,5,,,,,3,,,,,,2
top,,admin.,married,university.degree,no,yes,no,cellular,may,thu,,,,,nonexistent,,,,,,no
freq,,10422,24928,12168,32588,21576,33950,26144,13769,8623,,,,,35563,,,,,,36548
mean,40.02406040594348,,,,,,,,,,258.2850101971448,2.567592502670681,962.4754540157328,0.17296299893172767,,0.08188550063125165,93.57566436826262,-40.50260027192386,3.621290812858114,5167.035910944936,
std,10.421249980934048,,,,,,,,,,259.2792488364648,2.7700135429023276,186.9109073447418,0.4949010798392897,,1.5709597405170255,0.5788400489541262,4.628197856174544,1.734447404851267,72.25152766826108,
min,17.0,,,,,,,,,,0.0,1.0,0.0,0.0,,-3.4,92.201,-50.8,0.634,4963.6,
25%,32.0,,,,,,,,,,102.0,1.0,999.0,0.0,,-1.8,93.075,-42.7,1.344,5099.1,
50%,38.0,,,,,,,,,,180.0,2.0,999.0,0.0,,1.1,93.749,-41.8,4.857,5191.0,
75%,47.0,,,,,,,,,,319.0,3.0,999.0,0.0,,1.4,93.994,-36.4,4.961,5228.1,
max,98.0,,,,,,,,,,4918.0,56.0,999.0,7.0,,1.4,94.767,-26.9,5.045,5228.1,
